signal,market,lag,lookback,threshold,mode,rows,trades,active_days,avg_daily_return,vol_daily,sharpe,cum_return,buy_hold_return,max_drawdown,hit_rate
stress_index,ZN_return,10,10,2.0,short_only,781,60,34,7.281651395989717e-05,0.0008780857040787443,1.3164162886264752,0.05819880249164444,0.2950375349318066,-0.006449363760484883,0.7058823529411765
stress_index,ZN_return,10,10,2.0,long_short,781,64,36,6.659253125426451e-05,0.0008922582670493885,1.184773176419296,0.053057477405562326,0.2950375349318066,-0.007466896882688201,0.6666666666666666
stress_index,ZN_return,10,40,2.0,long_short,781,62,44,7.671330975813944e-05,0.0010342768200868587,1.1774275663549523,0.06130066788770172,0.2950375349318066,-0.010270154609410498,0.5681818181818182
stress_index,ZN_return,1,20,1.0,long_only,781,126,101,0.00011489802829063222,0.0015695149131383494,1.1621104321238664,0.09283080206024885,0.2950375349318066,-0.022332689105137193,0.5544554455445545
stress_index,ZN_return,1,40,1.0,long_only,781,118,105,0.00012037114836819634,0.0016542749804403718,1.1550877358662386,0.0973947552774741,0.2950375349318066,-0.043764121902034825,0.5714285714285714
stress_index,ZN_return,10,20,2.0,long_short,781,62,39,8.082741723023328e-05,0.0011137938628552986,1.152004435858364,0.06464530890022413,0.2950375349318066,-0.008628661106271474,0.6410256410256411
stress_index,ZN_return,10,40,2.0,short_only,781,54,40,6.642065321353828e-05,0.0009771524082220085,1.0790488495519877,0.05285101983665408,0.2950375349318066,-0.008969565440032023,0.6
stress_index,ZN_return,1,40,1.5,long_only,781,40,30,5.65993470815155e-05,0.0008557844069566847,1.049898517867472,0.04489680878799018,0.2950375349318066,-0.008852630722470556,0.5666666666666667
stress_index,ZN_return,10,20,1.5,short_only,781,106,73,8.433830867979646e-05,0.001341627993387657,0.9979138413731664,0.06733501137960207,0.2950375349318066,-0.017320070883187766,0.6027397260273972
stress_index,ZN_return,10,20,2.0,short_only,781,58,37,6.588528562783188e-05,0.0010589444458974741,0.987678332919336,0.0523428284909504,0.2950375349318066,-0.008628661106271474,0.6216216216216216
stress_index,ZN_return,5,10,0.5,long_only,781,246,260,0.00015381815409552918,0.0025711455996291458,0.9496885347663258,0.12473481806571618,0.2950375349318066,-0.03315104103190658,0.5307692307692308
stress_index,ZN_return,1,10,1.0,long_only,781,140,105,9.186771534113093e-05,0.001563049639837136,0.9330188451351998,0.07336074389496772,0.2950375349318066,-0.02835584018299364,0.5238095238095238
stress_index,ZN_return,2,40,1.5,long_only,781,40,30,6.0083675288898734e-05,0.0010244167105888666,0.9310652258560138,0.04761455796925684,0.2950375349318066,-0.025097841737791504,0.6333333333333333
stress_index,ZN_return,7,10,1.5,long_only,781,40,26,4.476312174622086e-05,0.0007661383002374953,0.9274990273481559,0.0353408148364065,0.2950375349318066,-0.008323181928782897,0.7307692307692307
stress_index,ZN_return,1,40,0.5,long_only,781,196,267,0.00015408373801425256,0.0026456119728608916,0.9245511194691975,0.12479758653406914,0.2950375349318066,-0.0687144129081727,0.5243445692883895
stress_index,ZN_return,7,40,0.5,long_short,781,329,458,0.0002012331988753493,0.00357266700370271,0.8941437853609941,0.1643637209099349,0.2950375349318066,-0.056037228743498035,0.517467248908297
stress_index,ZN_return,2,10,0.5,long_only,781,246,260,0.00014875082525227316,0.0026977499778134224,0.8753020721040892,0.1200031050571968,0.2950375349318066,-0.04733894899554514,0.5115384615384615
stress_index,ZN_return,7,10,0.5,long_only,781,246,260,0.00014499611814581083,0.0027896702931206564,0.8250946442586572,0.11650483570519454,0.2950375349318066,-0.03959892244145968,0.5153846153846153
stress_index,ZN_return,10,40,1.5,short_only,781,84,70,7.427872629559992e-05,0.0014387629378874434,0.8195500411041268,0.05887127744576137,0.2950375349318066,-0.01938535937173036,0.5714285714285714
stress_index,ZN_return,2,20,1.0,long_only,781,126,101,8.401315971482764e-05,0.001654138887680859,0.8062609341365146,0.06667484735656859,0.2950375349318066,-0.02712610852617514,0.5643564356435643
stress_index,ZN_return,10,20,1.5,long_short,781,138,92,7.428710264464384e-05,0.0014990205361461307,0.7866944894133041,0.058805352475436834,0.2950375349318066,-0.03675333815587911,0.5543478260869565
stress_index,ZN_return,7,20,2.0,long_only,781,4,2,2.74088508263137e-06,5.546917066656122e-05,0.7844033231837275,0.002141719503727435,0.2950375349318066,0.0,1.0
stress_index,ZN_return,10,40,1.0,long_only,781,118,105,7.789706528906321e-05,0.0015927100869040278,0.7763984078881838,0.06167476444906339,0.2950375349318066,-0.030745011050586912,0.5333333333333333
stress_index,ZN_return,7,20,0.5,long_only,781,226,267,0.00013566462992071246,0.002783636298616822,0.773667607344043,0.10841330107491998,0.2950375349318066,-0.03531038327032476,0.5131086142322098
stress_index,ZN_return,5,20,0.5,long_only,781,226,267,0.0001270273948041667,0.00263722698395828,0.7646279180106252,0.10130037114615997,0.2950375349318066,-0.031608098466265555,0.5243445692883895
stress_index,ZN_return,5,20,1.0,long_only,781,126,101,6.59507107063198e-05,0.0014174617317908617,0.7385984767141439,0.052031382106253465,0.2950375349318066,-0.020851168012500643,0.5742574257425742
stress_index,ZN_return,7,10,2.0,long_only,781,4,2,9.538258885e-06,0.00020603851072752445,0.7348876924363539,0.007460535066245777,0.2950375349318066,0.0,1.0
stress_index,ZN_return,7,10,1.5,long_short,781,166,99,7.080446254519782e-05,0.0015438561292093053,0.7280380447268365,0.055872351883265337,0.2950375349318066,-0.025437638481343283,0.5959595959595959
stress_index,ZN_return,5,10,2.0,long_only,781,4,2,9.436433942564788e-06,0.00020797091343942808,0.7202869977080729,0.007380109275933133,0.2950375349318066,0.0,1.0
stress_index,ZN_return,7,20,1.0,long_short,781,289,228,0.0001109478307074887,0.0024500096907220455,0.7188715285471402,0.08796392615618398,0.2950375349318066,-0.03605912154991975,0.5263157894736842
stress_index,ZN_return,10,40,0.5,long_only,781,196,267,0.0001189033148863305,0.002663952088757518,0.7085456286801929,0.09427552533541772,0.2950375349318066,-0.03857976973191257,0.5280898876404494
stress_index,ZN_return,1,40,1.0,long_short,781,248,225,0.00010124305894212365,0.002327907222438956,0.6903985348307946,0.07999481379259876,0.2950375349318066,-0.08463326303330077,0.5244444444444445
stress_index,ZN_return,10,10,0.5,long_only,781,246,260,0.00011087369278261388,0.002556223907990491,0.6885411339559333,0.0876731411413596,0.2950375349318066,-0.04878259919592187,0.5230769230769231
stress_index,ZN_return,3,40,0.5,long_only,781,196,267,0.00011164138525272135,0.0025753516879392317,0.6881592353807274,0.08828608644688374,0.2950375349318066,-0.0677509389266453,0.4868913857677903
stress_index,ZN_return,7,40,1.0,long_only,781,118,105,7.250182844899559e-05,0.001676633422860507,0.6864534789467908,0.057097436054029505,0.2950375349318066,-0.028247671842099753,0.5619047619047619
stress_index,ZN_return,10,20,2.0,long_only,781,4,2,1.494213160240141e-05,0.0003480587406277851,0.6814912483883871,0.01169056326151341,0.2950375349318066,0.0,1.0
stress_index,ZN_return,3,10,2.0,long_only,781,4,2,8.564450962900255e-06,0.00020150504097183843,0.6747049281057501,0.006695342153989703,0.2950375349318066,0.0,1.0
stress_index,ZN_return,10,40,1.0,long_short,781,243,218,0.00010202669785832843,0.0024058799463536396,0.6731938641361915,0.08049939459295707,0.2950375349318066,-0.041890841995693595,0.536697247706422
stress_index,ZN_return,10,10,1.0,long_only,781,140,105,6.986094763892631e-05,0.001716180144628018,0.6462073147267424,0.05486440844525031,0.2950375349318066,-0.03762169231459522,0.5333333333333333
stress_index,ZN_return,7,40,0.5,long_only,781,196,267,0.00011315912692210384,0.002813236496124155,0.6385333948828477,0.08903137537531891,0.2950375349318066,-0.04229804881125743,0.5093632958801498
stress_index,ZN_return,2,10,2.0,long_only,781,4,2,6.739426712883099e-06,0.00016794074970258904,0.6370406381897662,0.005266327104491486,0.2950375349318066,0.0,1.0
stress_index,ZN_return,7,40,0.5,short_only,781,175,191,8.807407195324548e-05,0.0022067188903954547,0.6335798157761843,0.06917371458526844,0.2950375349318066,-0.05202527624711928,0.5287958115183246
stress_index,ZN_return,10,40,1.5,long_short,781,124,100,6.346629099841485e-05,0.001608317377772431,0.6264286823165405,0.049756203964510304,0.2950375349318066,-0.026436615011097953,0.53
stress_index,ZN_return,2,20,2.0,long_only,781,4,2,1.2526272137172982e-05,0.00031867597070324314,0.623983054446345,0.009791204786645968,0.2950375349318066,0.0,1.0
stress_index,ZN_return,10,20,1.0,long_only,781,126,101,6.463783954449418e-05,0.0016570312555914853,0.6192362931314169,0.05065265604484481,0.2950375349318066,-0.04258214696655882,0.504950495049505
stress_index,ZN_return,1,20,1.5,long_only,781,32,19,2.880955629345403e-05,0.0007652589471455277,0.5976245422722251,0.02252237084056774,0.2950375349318066,-0.009996952643927526,0.5789473684210527
stress_index,ZN_return,7,20,1.0,long_only,781,126,101,6.724986952472312e-05,0.0018007093878803723,0.5928544550103022,0.052594152603696376,0.2950375349318066,-0.028007953074015046,0.5445544554455446
stress_index,ZN_return,10,10,1.0,long_short,781,315,247,9.76702984742272e-05,0.002628507359409709,0.5898663041178367,0.0763596628017904,0.2950375349318066,-0.06889048938209608,0.5263157894736842
stress_index,ZN_return,1,40,2.0,long_only,781,8,4,7.215305842774391e-06,0.00019866697794467707,0.5765398484664621,0.005635613493423897,0.2950375349318066,-0.0004846859773596224,0.5
stress_index,ZN_return,7,20,0.5,long_short,781,370,476,0.00012845166190875388,0.003552886509362723,0.5739296518612464,0.10009522070595245,0.2950375349318066,-0.05273982010762124,0.5063025210084033
stress_index,ZN_return,7,40,1.0,long_short,781,246,220,8.479314145594915e-05,0.002375605371921325,0.5666132123491237,0.06611639972829209,0.2950375349318066,-0.037019454543220864,0.5181818181818182
stress_index,ZN_return,5,10,1.5,long_only,781,40,26,2.6104626704782202e-05,0.00075108808519793,0.5517303631104352,0.02037249306415334,0.2950375349318066,-0.016303203759167606,0.5769230769230769
stress_index,ZN_return,2,20,0.5,long_only,781,226,267,9.573466953331029e-05,0.0028425550655838904,0.5346389883498618,0.07424315968260786,0.2950375349318066,-0.05955791088179374,0.5056179775280899
stress_index,ZN_return,1,10,0.5,long_short,781,411,477,0.00011367016961169685,0.0035191520701797156,0.5127536309001669,0.08756747279549759,0.2950375349318066,-0.07219776455095162,0.5052410901467506
stress_index,ZN_return,1,10,0.5,long_only,781,246,260,8.551057212308763e-05,0.002648733983464645,0.5124856849730425,0.0661424398205972,0.2950375349318066,-0.04760909972813099,0.49230769230769234
stress_index,ZN_return,7,10,0.5,long_short,781,408,473,0.00011621924369216064,0.0036240746513505335,0.509074308811297,0.08941873166623115,0.2950375349318066,-0.06864107312276357,0.5137420718816068
stress_index,ZN_return,10,20,1.0,long_short,781,286,226,7.906272654110317e-05,0.0024688969983062917,0.5083573252654114,0.06116854436380459,0.2950375349318066,-0.06258016977255687,0.5132743362831859
